appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
24247,Two Wars - Part 1,2018-07-09,1,Triority,Triority,windows,0,Single-player,Violent,Violent,0,4,2,0,0,0-20000,0.0
24248,Two Worlds Epic Edition,2009-04-30,1,Reality Pump Studios,Topware Interactive,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG,RPG;Open World;Fantasy,0,2656,1055,484,422,1000000-2000000,6.99
24249,Two Worlds II Castle Defense,2011-06-14,1,Reality Pump Studios,Topware Interactive,windows;mac,0,Single-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Tower Defense;Fantasy,0,153,194,320,330,200000-500000,6.99
24250,Two Worlds II HD,2011-02-03,1,Reality Pump Studios,"Topware Interactive, ACE",windows;mac,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Nudity;Violent;RPG,RPG;Open World;Fantasy,61,3054,2051,327,403,500000-1000000,14.99
24251,Two Worlds II HD - Call of the Tenebrae,2017-07-13,1,Reality Pump Studios,TopWare Interactive ACE,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Action;Adventure;Indie;RPG,RPG;Action;Adventure,61,10,12,0,0,20000-50000,10.99
24252,TY the Tasmanian Tiger,2016-12-12,1,Krome Studios,Krome Studios,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Adventure;3D Platformer;Action,39,1676,26,117,117,50000-100000,10.99
24253,TY the Tasmanian Tiger 2,2017-12-12,1,Krome Studios,Krome Studios,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Action;Adventure;3D Platformer,27,337,11,0,0,0-20000,11.39
24254,TY the Tasmanian Tiger 3,2018-12-17,1,Krome Studios,Krome Studios,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Action;Adventure;Indie,36,64,1,0,0,0-20000,11.39
24255,TY the Tasmanian Tiger 4,2015-09-17,1,Krome Studios,Krome Studios,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Adventure;Action;Indie,16,186,37,0,0,20000-50000,4.79
24256,Tyd wag vir Niemand (Time waits for Nobody),2017-07-07,1,Skobbejak Games,Skobbejak Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;First-Person,14,25,16,0,0,20000-50000,6.99
24257,Tyler,2016-01-14,1,ILLUSIONETWORK,IndieGala,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Includes level editor,Action;Casual;Indie,Casual;Action;Indie,18,13,11,0,0,0-20000,1.99
24258,Tyler: Model 005,2018-08-20,1,Reversed Interactive,Maximum Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Indie;RPG,Action;Adventure;Indie,11,28,7,0,0,0-20000,7.99
24259,Type,2018-04-04,1,S.A. Digiworks,S.A. Digiworks,windows,0,Single-player,Casual,Casual,0,0,1,0,0,0-20000,0.79
24260,Type Defense,2018-07-18,1,Göksan Güner,Göksan Güner,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Indie;Strategy,Indie;Casual;Strategy,36,25,10,0,0,0-20000,0.99
24261,Type:Rider,2013-11-06,1,Ex Nihilo,Plug In Digital,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie,Indie;Platformer;Casual,12,1123,281,0,0,100000-200000,3.99
24262,Typefighters (Steam Edition),2016-04-18,1,Christian Reuter,Christian Reuter,windows;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Indie,Indie;Typing,21,77,34,3,3,0-20000,1.59
24263,Typical,2018-12-15,1,kalanhow,TsunamiGames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Casual;Indie,Indie;Nudity;Casual,31,21,3,0,0,0-20000,5.79
24264,Typical Nightmare,2018-08-21,1,ELECTROSTALIN ENTERTAINMENT,ELECTROSTALIN ENTERTAINMENT,windows,0,Single-player;Full controller support;Steam Cloud,Action;Adventure;Indie;Simulation,Indie;Action;Adventure,0,32,45,0,0,0-20000,7.19
24265,Typing game,2018-09-22,1,Garnudo Games,Garnudo Games,windows,0,Single-player,Casual;Indie;Simulation;Strategy,Casual;Indie;Strategy,0,1,3,0,0,0-20000,0.79
24266,Typing with Jester,2017-03-15,1,Michael Jendryssek,Michael Jendryssek,windows;linux,0,Single-player;Steam Achievements;Steam Cloud,Indie;Early Access,Early Access;Indie;Typing,3,2,2,0,0,0-20000,3.99
24267,Typoman,2016-08-15,1,Brainseed Factory,Brainseed Factory,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Indie;2D;Word Game,20,293,42,0,0,20000-50000,7.99
24268,Tyr: Chains of Valhalla,2018-05-08,1,Ennui Studio,Ennui Studio,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Action;Adventure;Indie,15,13,3,0,0,0-20000,8.29
24269,Tyran,2017-01-27,1,Dragon's Games,Dragon's Games,windows;linux,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Full controller support;Steam Trading Cards,Action;Indie;RPG;Strategy;Early Access,Early Access;Action;Strategy,0,24,23,0,0,0-20000,4.79
24270,Tyranny,2016-11-10,1,Obsidian Entertainment,Paradox Interactive,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;RPG,RPG;Story Rich;Choices Matter,70,6121,1001,1570,1899,200000-500000,23.79
24271,TYRED,2017-11-20,1,Sekrit Games,Sekrit Games,windows,0,Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support,Action;Casual;Indie;Early Access,Early Access;Action;Indie,0,3,0,0,0,0-20000,8.99
24272,Tyto Ecology,2016-04-14,1,Immersed Games,Immersed Games,windows;mac,0,Single-player;Steam Achievements,Casual;Indie;Simulation;Strategy,Simulation;Indie;Science,38,225,74,0,0,20000-50000,5.19
24273,Tyto Online,2016-11-25,1,Immersed Games,Immersed Games,windows;mac,0,Multi-player;Online Multi-Player;MMO,Casual;Indie;Massively Multiplayer;RPG;Early Access,Early Access;Education;Massively Multiplayer,0,9,0,0,0,0-20000,19.49
24274,TZOMPANTLI,2016-11-09,1,Deathly Ideas,Deathly Ideas,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,Nudity;Violent;Action;Indie;Early Access,Early Access;Action;Indie,0,12,7,0,0,0-20000,7.19
24275,U-Boats,2016-01-07,1,Astra Game Studio,Astra Game Studio,windows;linux,0,Single-player,Action;Indie,Action;Indie;Top-Down,0,5,6,0,0,0-20000,3.99
24276,U-BOOT 1945,2018-06-18,1,Diedemor Studio,Dagestan Technology,windows,0,Single-player;Steam Achievements;Full controller support,Action;Adventure;Indie,Action;Adventure;Indie,8,12,4,0,0,0-20000,3.19
24277,Uagi-Saba,2018-11-30,1,Undergroundies,Undergroundies,windows,0,Single-player,Casual;Indie;Simulation,Indie;Simulation;Casual,0,16,0,0,0,0-20000,11.39
24278,UAYEB: The Dry Land - Episode 1,2018-01-31,1,ICA GAMES,ICA GAMES,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Adventure;Indie;Violent,109,39,21,0,0,0-20000,14.99
24279,UBERMOSH,2015-08-13,1,Walter Machado,Walter Machado,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Action;Great Soundtrack;Pixel Graphics,7,1761,199,140,164,100000-200000,0.79
24280,UBERMOSH Vol.3,2016-08-15,1,Walter Machado,Walter Machado,windows;linux,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Indie;Action;Great Soundtrack,13,164,16,19,19,20000-50000,0.79
24281,UBERMOSH Vol.5,2017-05-25,1,Walter Machado,Walter Machado,windows;linux,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Action;Indie;Great Soundtrack,22,204,9,21,32,20000-50000,0.79
24282,UBERMOSH Vol.7,2019-02-26,1,Walter Machado,Walter Machado,windows,0,Single-player;Steam Achievements,Action;Indie;Early Access,Early Access;Indie;Action,6,49,1,0,0,0-20000,13.99
24283,UBERMOSH:BLACK,2016-02-17,1,Walter Machado,Walter Machado,windows;linux,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Action;Indie;Arcade,8,205,21,151,151,20000-50000,0.79
24284,UBERMOSH:SANTICIDE,2018-07-27,1,Walter Machado,Walter Machado,windows,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Action;Indie;Fast-Paced,32,91,4,0,0,0-20000,3.99
24285,UBERMOSH:WRAITH,2017-01-29,1,Walter Machado,Walter Machado,windows;linux,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Indie;Action;Fast-Paced,22,124,15,12,12,20000-50000,0.79
24286,Ubersoldier II,2014-03-25,1,Burut CT,Strategy First,windows,0,Single-player,Action,Action;FPS;World War II,0,253,95,0,0,100000-200000,6.99
24287,Ubinota,2015-03-04,1,Rotateam,Plug In Digital,windows,0,Single-player;Steam Achievements,Indie,Indie;Puzzle;Physics,46,172,14,0,0,50000-100000,0.0
24288,Uebergame,2015-10-26,1,Duion,Duion,windows;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Includes level editor;Includes Source SDK,Action;Casual;Free to Play;Indie,Free to Play;Action;Multiplayer,0,247,228,3,3,200000-500000,0.0
24289,uFactory,2019-04-15,1,Lucid Silence Games,Lucid Silence Games,windows,0,Single-player;Steam Achievements;Steam Cloud,Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,7,8,0,0,0,0-20000,7.19
24290,UFHO2,2015-06-02,1,Tiny Colossus;Ciro Continisio,Tiny Colossus,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Indie;Strategy,Strategy;Indie;Puzzle,24,15,1,0,0,20000-50000,0.0
24291,UFO - Unfortunately Fortunate Organisms,2017-06-02,1,Rebourne Studios,Back To Basics Gaming,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie,Action;Indie,19,17,1,0,0,0-20000,1.59
24292,UFO Online: Invasion,2016-06-08,1,Bad Pixel,Bad Pixel,windows,0,Multi-player;MMO;Co-op;Steam Achievements;In-App Purchases,Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;RPG,157,256,212,7,7,100000-200000,0.0
